# -----------------------------------------------------------------------------------------------------
# solar abundances and ionization energies/wavelengths for the first 40 elements of the periodic table.
# from https://www.staff.science.uu.nl/~rutte101/rridl/ltelib/abundances.dat
# originally from A.D. Wittmann, Goettingen (1974, solar phys. 35, 11), various updates by Rob Rutten
# I added the statistical weights of the ground states of neutral (g0) and first ion (g1) for some atoms
# ------------------------------------------------------------------------------------------------------
# nr el Weight g0 g1 logA12 Nel/NH ion1eV wav1AA ion2eV wav2AA ion3eV wav3AA
# --------------------------------------------------------------------------
1 H 1.008 2 1 12.00 1.00E+00 13.598 911.8 0.000 Inf 0.000 Inf
2 He 4.003 1 1 10.93 8.51E-02 24.590 504.2 54.420 227.8 0.000 Inf
3 Li 6.941 2 1 1.05 1.12E-11 5.390 2299.6 75.640 163.9 122.451 101.3
4 Be 9.012 0 0 1.38 2.40E-11 9.320 1330.3 18.210 680.9 153.893 80.6
5 B 10.811 0 0 2.70 5.01E-10 8.300 1493.8 25.150 493.0 37.930 326.9
6 C 12.011 0 0 8.43 2.69E-04 11.260 1101.1 24.380 508.5 47.887 258.9 64.492 192.2
7 N 14.007 0 0 7.83 6.76E-05 14.530 853.3 29.600 418.9 47.448 261.3 77.472 160.0 97.888 126.7
8 O 15.994 0 0 8.69 4.90E-04 13.620 910.3 35.120 353.0 54.934 225.7
9 F 18.998 0 0 4.56 3.63E-08 17.420 711.7 34.970 354.5 62.707 197.7
10 Ne 20.179 0 0 7.93 8.51E-05 21.560 575.1 40.960 302.7 63.450 195.4
11 Na 22.990 2 1 6.24 1.74E-06 5.140 2411.4 47.290 262.2 71.640 173.1
12 Mg 24.305 1 1 7.60 3.98E-05 7.650 1620.7 15.040 824.4 80.143 154.7
13 Al 26.982 6 1 6.45 2.82E-06 5.990 2069.2 18.830 658.4 28.448 435.8
14 Si 28.086 5 4 7.51 3.24E-05 8.150 1521.3 16.350 758.3 33.492 370.2 45.14 274.7
15 P 30.974 4 9 5.41 2.57E-07 10.490 1181.9 19.770 627.1 30.180 410.8
16 S 32.06 9 4 7.12 1.32E-05 10.360 1196.8 23.340 531.2 34.830 356.0
17 Cl 35.45 4 9 5.50 3.16E-07 12.970 955.9 23.810 520.7 39.610 313.0
18 Ar 39.95 1 6 6.40 2.51E-06 15.760 786.7 27.630 448.7 40.740 304.3
19 K 39.10 10 0 5.03 1.07E-07 4.340 2855.9 31.630 392.0 45.720 271.2
20 Ca 40.08 15 10 6.34 2.19E-06 6.110 2028.5 11.870 1044.5 50.910 243.5
21 Sc 44.96 0 0 3.15 1.41E-09 6.560 1890.0 12.800 968.6 24.760 500.7
22 Ti 47.90 0 0 4.95 8.91E-08 6.830 1815.3 13.580 913.0 27.490 451.0
23 V 50.941 0 0 3.93 8.51E-09 6.750 1836.8 14.660 845.7 29.310 423.0
24 Cr 51.996 0 0 5.64 4.37E-07 6.770 1831.4 16.490 751.9 30.960 400.5
25 Mn 54.938 0 0 5.43 2.69E-07 7.430 1668.7 15.640 792.7 33.670 368.2
26 Fe 55.847 9 30 7.50 3.16E-05 7.900 1569.4 16.190 765.8 30.651 404.5
27 Co 58.933 0 0 4.99 9.77E-08 7.880 1573.4 17.080 725.9 33.500 370.1
28 Ni 58.71 0 0 6.22 1.66E-06 7.640 1622.8 18.170 682.4 35.170 352.5
29 Cu 63.646 0 0 4.19 1.55E-08 7.730 1603.9 20.290 611.1 36.830 336.6
30 Zn 65.37 0 0 4.56 3.63E-08 9.390 1320.4 17.960 690.3 39.720 312.1
31 Ga 69.72 0 0 3.04 1.10E-09 6.000 2065.7 20.510 604.5 30.710 403.7
32 Ge 72.59 0 0 3.65 4.47E-09 7.900 1569.4 15.930 778.3 34.220 362.3
33 As 74.922 0 0 2.30 2.00E-10 9.790 1266.4 18.630 665.5 28.351 437.3
34 Se 78.96 0 0 3.20 1.58E-09 9.750 1271.6 21.190 585.1 30.820 402.3
35 Br 79.904 0 0 2.60 3.98E-10 11.820 1048.9 21.800 568.7 36.000 344.4
36 Kr 83.80 0 0 3.25 1.78E-09 14.000 885.6 24.360 509.0 36.950 335.5
37 Rb 85.468 0 0 2.52 3.31E-10 4.180 2965.3 27.290 454.3 40.000 310.0
38 Sr 87.62 0 0 2.87 7.41E-10 5.700 2174.5 11.030 1124.1 43.600 284.4
39 Y 88.906 0 0 2.21 1.62E-10 6.220 1993.3 12.240 1012.9 20.520 604.2
40 Zr 91.22 0 0 2.58 3.80E-10 6.640 1867.2 13.130 944.3 22.990 539.3
